Publications,Descriptions
2014,"Técnicas de combinación de amplificadores en aplicaciones de bajas pérdidas y alta potencia para sistemas de comunicaciones
Referencia: TEC2013-47106-C3-3-R
Entidad financiadora: Ministerio de Economía y Competitividad (Programa Estatal de Investigación, Desarrollo e Innovación Orientada a los Retos de la Sociedad)
Cantidad Financiada (€): 49.610,00 (UMA)
Fecha de Inicio: 01/01/2014 Duración: 2 años
Investigador Responsable:Carlos Camacho Peñalosa (Universidad de Málaga)
Responsable Consorcio: José Ramón Montejo (Universidad Politécnica de Madrid)"
2016,"Explorando las nuevas tecnologías de fabricación y de manufacturación aditivas para dispositivos pasivos en las bandas de microondas y milimétricas
Referencia: TEC2016-76070-C3-3-R
Entidad financiadora: Ministerio de Economía y Competitividad (Programa Estatal de Investigación, Desarrollo e Innovación Orientada a los Retos de la Sociedad)
Cantidad Financiada (€): 113.740,00 (UMA)
Fecha de Inicio: 30/12/2016 Duración: 3 años
Investigador Responsable:Enrique Márquez Segura, Carlos Camacho Peñalosa (Universidad de Málaga)
Responsable Consorcio: Jorge A. Ruíz Cruz (Universidad Autónoma de Madrid)"
