Publications,Descriptions
2017,"Equivalent Circuits for Nonsymmetric Reciprocal Two Ports Based on Eigenstate Formulation
Autores: Elena Abdo-Sánchez; Carlos Camacho-Peñalosa; Teresa M. Martín-Guerrero; Jaime Esteban
Ref. revista/Libro: IEEE Transactions on Microwave Theory and Techniques ISSN: 0018-9480
Volume: 65, No.12, Páginas inicial: 4812 final: 4822 DOI:10.1109/TMTT.2017.2708103"
2016,"	A Short Dual-Band Planar Leaky-Wave Antenna with Broadside Effect Mitigation
Autores: Abdo-Sánchez, Elena, Martín Guerrero, Teresa M., Camacho-Peñalosa, Carlos, Esteban Marzo, Jaime
Ref. revista/Libro: Microwaves, Antennas & Propagation, IET ISSN: 1751-8733
Volume: 10, No.05, Páginas inicial: 574 final: 578 DOI:10.1049/iet-map.2015.0741"
2015,"Electronically-Steerable and Fixed-Beam Frequency-Tunable Planar Traveling-Wave Antenna
Autores: Abdo-Sanchez, E.; Palacios-Campos, D.; Frias-Heras, C.; Ng-Molina, F.; Martin-Guerrero, T.; Penalosa, C.
Ref. revista/Libro: Antennas and Propagation, IEEE Transactions on ISSN: 0018-9480
Volume: 64, No.04, Páginas inicial: 1288 final: 1306 DOI:10.1109/TAP.2016.2521895"
