Publications,Descriptions
2016,"Título: MELASAT - Low-Cost Metasurface Leaky-Wave Antenna for Mobile Satellite Communications.
Referencia: 8.06.UE/59.8016
Entidad financiadora: Unión Europea
Periodo: 03/05/2016  -  02/05/2018
Investigador Responsable: Carlos Camacho Peñalosa
Participantes:  Elena Abdo Sánchez, Carlos Camacho Peñalosa
Grupo de Investigación: Ingeniería de Comunicaciones"
2016,"Título: Explorando las nuevas tecnologías de fabricación y de manufacturación aditivas para dispositivos pasivos en las bandas de microondas y milimétricas
Referencia: TEC2016-76070-C3-3-R
Entidad financiadora: Mineco
Periodo: 30/12/2016  -  29/12/2019
Investigador Responsable: Carlos Camacho Peñalosa, Enrique Márquez Segura
Ámbito: Nacional
Participantes: Enrique Márquez Segura
Financiación: 113.740,00 EUR"
2019,"Título: Antenas basadas en metasuperficies para sensores de radares de automoción en ondas milimétricas
Referencia: RTI2018-097098-J-I00
Entidad financiadora: Ministerio de Ciencia, Innovación y Universidades
Periodo: 20/09/2019  -  19/02/2022
Investigador Responsable:Elena Abdo Sánchez
Participantes:  Elena Abdo Sánchez, Teresa M. Martín Guerrero, Carlos Camacho Peñalosa, Jaime Esteban Marzo,  Alberto Hernández Escobar,  Mario Pérez Escribano
Financiación: 192.874,00 EUR"
2021,"Título: Desarrollo de dispositivos de microndas de altas prestaciones para aplicaciones de comunicaciones inalámbricas globales,integrando los nuevos paradigmas de fabricación: foco en aplicaciones de automoción
Referencia: PID2020-116968RB-C31
Entidad financiadora: Ministerio de Ciencia e Innovación
Periodo: 09/01/2021  -  31/08/2024
Ámbito: Nacional
Participantes: Enrique Márquez Segura, Teresa M. Martín Guerrero, Carlos Camacho Peñalosa, Francisco Javier Mata Contreras, Mario Pérez Escribano, Elena Abdo Sánchez, Aarón García, Alberto Hernández Escobar  
Financiación: 66.187,00 EUR"
2021,"Título: Metasuperficies de Huygens moduladas espacial y temporalmente para transformaciones del campo electromagnético
Referencia: PY20_00452
Entidad financiadora: Junta de Andalucía Proyecto de Excelencia
Periodo: 10/05/2021  -  31/03/2023
Investigador Responsable:Elena Abdo Sánchez
Ámbito: Autonómico
Participantes: Elena Abdo Sánchez, Teresa M. Martín Guerrero, Carlos Camacho Peñalosa, Enrique Márquez Segura, Francisco Mesa, Francisco Javier Mata Contreras, Mario Pérez Escribano, Alberto Hernández Escobar, Jaime Esteban Marzo, Pablo Mateos Ruiz    
Financiación: 38.750,00 EUR"
2021,"Título: Antenas basadas en metasuperficies como tecnología facilitadora de sistemas 5G
Referencia: UMA20-FEDERJA-001
Entidad financiadora: Universidad de Málaga
Periodo: 10/01/2021  -  30/09/2023
Investigador Responsable:Teresa M. Martín Guerrero, Elena Abdo Sánchez
Ámbito: Autonómico
Participantes: Elena Abdo Sánchez, Teresa M. Martín Guerrero, Carlos Camacho Peñalosa, Enrique Márquez Segura, Francisco Javier Mata Contreras, Mario Pérez Escribano, Alberto Hernández Escobar, Jaime Esteban Marzo, Pablo Mateos Ruiz     
Financiación: 56.508,00 EUR"
2023,"Título: Fortalecimiento del ecosistema científico y tecnológico. Incremento de las capacidades de diseño PERTE-CHIP
Referencia: TSI-069100-2023-0013
Entidad financiadora: Ministerio para la transformación digital y de la función pública
Periodo: 01/07/2023  -  31/12/2026
Investigador Responsable:Enrique Márquez Segura
Ámbito: Nacional
Financiación: 5.500.000,00 EUR"
2023,"Título: Metasuperficies reconfigurables para el control del entorno radio
Referencia: PID2022-141193OB-I00
Entidad financiadora: Ministerio de Ciencia, Investigación y Universidades
Periodo: 09/01/2023  -  09/01/2026
Investigador Responsable:Elena Abdo Sánchez
Ámbito: Nacional
Participantes: Teresa M. Martín Guerrero, Carlos Camacho Peñalosa, Jaime Esteban Marzo,  Francisco Javier Mata Contreras,  Alberto Hernández Escobar,  Pablo Mateos Ruiz,  Mario Pérez Escribano,  Francisco Mesa 
Financiación: 148.000,00 EUR"
2024,"Título: Circuitos integrados para sistemas de antenas en microondas y milimétricas para redes de transporte inteligente basadas en 6G
Referencia: PID2023-146246OB-C33 ANT4IT
Entidad financiadora: Ministerio de Ciencia e innovación
Periodo: 01/09/2024  -  31/08/2027
Investigador Responsable:Enrique Márquez Segura
Ámbito: Nacional
Participantes: Teresa M. Martín Guerrero, Carlos Camacho Peñalosa,  Francisco Javier Mata Contreras,  Mario Pérez Escribano
Financiación: 126.250,00 EUR"
